1742574,1309301,854980,845749,1295418,1046669,1186644,2444318,9892404,8900858,9314173,6559351,7729406,5566068,5545285,5168333,3527205,3830412,1970841,1561391,2170332,1019496,1036777,815651,1
2846863,2793026,2690025,2575829,2766404,2685467,2749883,3734520,9210518,16453809,24299262,14426791,8111879,12710529,18608996,12337080,6077771,4341472,3037579,2924926,3125765,2630030,2651303,2559211,1
1286160,1404790,1018436,1057457,1081580,1082207,1048473,1219347,5687328,5726489,5344958,6355086,3944064,4235216,5420715,4693978,3157104,1342014,1186356,1656127,1045185,929342,1070158,1031838,1
2723543,2521926,2512656,2495396,2494409,2530369,2478070,2623434,7202134,6910320,7583243,7339181,4987902,4420728,6688413,6299537,3894323,3555556,2666046,2781218,2533726,2467380,2480560,2485219,1
661037,513933,513262,524504,497990,562433,539658,1209198,5164137,5622412,6356792,2694582,3613660,7458493,7301338,4224568,3153765,950387,506303,541752,566517,503590,533758,553445,1
2565792,2752844,2439341,2499970,2528265,2515878,2466449,3106682,9326992,9484279,13630762,16695352,13832456,26091308,14616971,16219629,8462756,4051975,2822737,2572992,2564315,2518893,2542810,2511258,1
3278669,3030133,3020349,2943227,3056234,2956289,2924279,3191551,7715183,11500597,10923847,8359437,5771335,7937038,10420633,8662505,6290151,3117591,3035830,2930451,2957221,2925588,3018833,2969252,1
2700895,2809247,2739390,2814357,3229762,2765273,2828796,2853696,2827387,2896028,2956544,2787954,2815954,2844773,2839134,2861996,2737680,2787604,2768300,2743334,2712500,2753477,2779897,2752114,0
1605712,1779570,1673335,2093008,2301180,1765413,1632180,1755669,2030415,2427509,2002657,1841115,2199058,2010009,1824218,1996695,1679604,2080851,1901068,1469559,1563360,1712924,1819248,1726962,0
9545025,7253867,7707477,9395239,8542984,8416696,12274906,14630499,14514380,14803256,14457000,12146478,13855758,15123810,16595177,16389480,14435881,16582528,18055188,13440338,11801108,10525630,13394189,14410410,0
5276968,4299290,5473130,5109551,4725551,5609094,4595799,7416264,6210408,7294766,4970169,4515829,6356154,7612762,8354584,6934709,6632063,7599506,6957316,4752987,5483198,4666284,4722537,4493462,0
1018622,948948,1052428,1087420,1030414,921221,1160806,1380651,1550899,1447597,1278008,1408723,1238199,1089994,1070918,1116492,1368248,1962927,1256414,963262,965265,921791,990433,991475,0
4276720,4373242,4217897,4287024,4300101,4378906,4460862,4566716,4431801,4426951,4489007,4485787,4710932,4576262,4638951,4585624,4778249,4745055,4400494,4518881,10569899,25575688,10190193,4350815,0
2999858,3156026,2989436,3067766,3066637,3030637,2943139,3720972,4567133,3433526,3333165,3560124,3121856,2962227,3184225,3201333,3222819,3076866,2893917,2926292,2952844,2990866,3295739,3884547,0
3081199,3113287,2972615,3616291,3302715,3734553,3338265,3403925,3336472,3229108,3634102,4051682,3759051,3189940,3389901,6618113,4947607,3911587,3079878,3350922,3197636,3167241,3188859,3686673,0
3769170,3911463,3753419,4125912,3952529,4082133,4137677,4286511,3905774,3988553,4103909,4160151,3972842,4179405,4239958,4522174,4342351,4139626,3820087,3918847,3792908,3828346,3794663,3802886,0
3084918,2746608,2597264,2960365,3381680,2657538,2592128,4685395,4937854,5161086,5079738,3038168,5643306,3316945,2766704,3037168,3010797,2892847,2575711,2570520,2941041,3187030,3689776,3169530,0
3267487,3164890,3131336,3241522,3289835,3129674,3012604,3159540,3193042,3213602,3239199,3219476,4840246,3541090,3161222,3225102,3275706,3229070,3060175,3079210,3237151,3258669,3490281,3383632,0
